rank,imu_index,timestamp,pose_index,dt,NIS,residual_norm,r_theta_x,r_theta_y,r_theta_z,standardized_diag_x,standardized_diag_y,standardized_diag_z,R_x,R_y,R_z,P_pred_theta_x,P_pred_theta_y,P_pred_theta_z,S_xx,S_yy,S_zz,rho_xy,rho_xz,rho_yz,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z,omega_hat_norm,bg_x,bg_y,bg_z,delta_bg_per_frame_x,delta_bg_per_frame_y,delta_bg_per_frame_z
11,14489,1786181306.525636,14460,0.005800485610961914,846.3337556100663,0.009748263873170236,0.0010198922552507037,0.002926998136444289,-0.009242356314159678,2.3496268902242226,6.302428088070337,-28.30330964476472,1.779392e-07,2.105979e-07,1.012843e-07,1.0473763344175621e-08,5.09164478893935e-09,5.348538439862214e-09,1.8841296334417562e-07,2.1568954478893936e-07,1.0663283843986222e-07,-0.00043689297661898667,1.737866921689664e-05,-5.322859497073266e-07,0.055589218174273224,0.023606172454405494,0.05015845482028552,-0.016834620523380115,-0.014060719744040044,-0.021055005842893614,0.10089029570189503,0.0009391154275910177,-0.0028539291790875662,0.01294056323063987,-1.4026672962610433e-05,-4.2015645960200975e-05,0.00019462186356196745
12,20849,1786181338.3256645,20820,0.005781412124633789,830.3765013892641,0.008578316905471997,0.00018843587593808263,0.0026115352403813206,-0.008168959330270446,0.5919995269613599,8.041419219604776,-27.665069810361622,9.360314e-08,1.017762e-07,8.218606e-08,7.714359332903927e-09,3.6931754068254614e-09,5.004592324734216e-09,1.0131749933290392e-07,1.0546937540682545e-07,8.719065232473422e-08,-0.0007593566864394179,9.705272968490401e-06,-4.6326854221079285e-06,0.0761399106883934,0.035016010134829335,0.057398266692574876,-0.0232541514993722,-0.021593765577239046,-0.02414322322787859,0.2604529449351875,0.001302651465590683,-0.004570040658042652,0.014494635338963908,-8.393368356441038e-07,-5.647680083491983e-05,0.0001972676759804514
13,14469,1786181306.4256377,14440,0.00576019287109375,812.4183079079361,0.009541641171394227,-0.0006429329427455094,0.004308843384850744,-0.00848901773820776,-1.4265443185321107,9.879254400811629,-26.698630997657656,1.931914e-07,1.85185e-07,9.60768e-08,9.932403778709488e-09,5.042403306847951e-09,5.019880575087258e-09,2.0312380377870948e-07,1.9022740330684796e-07,1.0109668057508725e-07,-0.0011494465386895233,1.0050044207152469e-05,-4.908981218429281e-07,0.048897019080645455,0.026505953124234663,0.049654257061711324,-0.014741955019830907,-0.015538192551635554,-0.02086331636358933,0.43180774177653136,0.0007656523766719695,-0.001889967204017365,0.010380398786530375,1.7638276759720226e-05,-6.576585443058636e-05,0.00017711563959887933
14,19269,1786181330.4256697,19240,0.00581669807434082,792.3124499293846,0.0066129278893713875,0.000278136008400821,-0.0008271823927589189,-0.006555091526437019,1.155954564795125,-2.713551018365512,-27.993016239666435,5.259322e-08,8.955633e-08,5.078046e-08,5.300693345791429e-09,3.367388492862864e-09,4.054575345928067e-09,5.7893913345791424e-08,9.292371849286286e-08,5.483503534592807e-08,0.0006473525039761351,1.1828966428995867e-06,1.5781868067358385e-06,0.09155835215451737,0.03623779824239191,0.07394132820654307,-0.02817866793023784,-0.022624380917413735,-0.031314155331030234,1.0766493421854353,0.0005584259295178993,0.0012951164694419812,0.01825348302569485,-7.169037108134936e-06,1.9136165464632773e-05,0.0002052643019382211
15,19350,1786181330.8298287,19321,0.004166841506958008,782.4949082391637,0.007223284803493062,0.0009467985196346116,-0.0038638052667327965,0.0060291313450910496,3.750236811753886,-12.567705833090532,24.70647614214677,5.793961e-08,9.113647e-08,5.562568e-08,5.798290734394206e-09,3.382383847662346e-09,3.925157892818216e-09,6.373790073439421e-08,9.451885384766234e-08,5.955083789281822e-08,0.0007667947203179137,5.9661729746966195e-06,3.485643058355179e-06,0.09097031120437034,0.03578471514360475,0.06591272312958531,-0.027877149820850204,-0.022151763009633035,-0.02792839912333432,0.39139221572955646,-0.00010238273073635546,0.004920664899157501,0.022543230914369432,-2.0138704779857266e-05,8.73517420329345e-05,-0.00016836177124236046
16,19290,1786181330.529974,19261,0.004321575164794922,782.448781120228,0.006503985942163648,0.0006796311849231772,-0.001970603639705374,-0.006160897327786124,2.7971289860235906,-6.732107274151877,-27.004803079196968,5.353463e-08,8.226051e-08,4.817258e-08,5.502006855985914e-09,3.422853377474094e-09,3.875643770627103e-09,5.903663685598591e-08,8.568336337747409e-08,5.204822377062711e-08,0.0011431873074656703,2.728407650329795e-06,-1.8040911048651323e-06,0.09319529677356732,0.039946446285022294,0.07446255586340189,-0.02859446186939049,-0.02476930400256396,-0.03154253181060035,1.3013843228363988,0.0005039527749147118,0.0016399863066532173,0.02068431568752732,-1.606949929675006e-05,5.062400283315557e-05,0.00019430210284629781
17,17851,1786181323.33576,17822,0.0058574676513671875,782.4215509351066,0.00626795910642829,0.0010556755610952383,0.0022420096225239227,-0.005757278291178369,3.808498691596163,10.002187267245464,-25.84144759713411,7.04692e-08,4.772647e-08,4.588161e-08,6.364777136549103e-09,2.517619620850865e-09,3.754846283175084e-09,7.68339771365491e-08,5.0244089620850866e-08,4.963645628317509e-08,-0.0009593818718800521,2.8114245892741558e-05,2.703003572644448e-05,0.08283720896768314,0.050106901663016595,0.07564694368790784,-0.02541751050024198,-0.03185321167770128,-0.03209065103500733,0.44365658989050205,0.0008560621934673112,-0.00293086689322787,0.014365638109228371,-2.3801920235858704e-05,-7.274654507344802e-05,0.00018466085379315912
18,17830,1786181323.229895,17801,0.004253387451171875,775.3636740301835,0.006264727320048795,-0.0009853490869195835,0.0027390325033744313,-0.0055473954714740596,-3.6128377389467996,12.135625546954651,-24.802823163161587,6.795671e-08,4.840132e-08,4.622736e-08,6.4279399057558465e-09,2.5399815301207693e-09,3.7963642317746105e-09,7.438464990575585e-08,5.094130153012077e-08,5.0023724231774615e-08,-0.0016645916006573977,-1.213483940404061e-05,1.6478881409680938e-06,0.08641233916530978,0.049858314173344735,0.07589127525282378,-0.026454320211545212,-0.031371463605553845,-0.032181958419675506,0.5217021367547717,0.0007027344072758965,-0.0017765301360347712,0.01204079596661119,3.159391948180906e-05,-8.414455509449096e-05,0.0001785581883238449
19,14490,1786181306.5297077,14461,0.004071712493896484,769.6350907238993,0.00930193441335925,0.000997431096595135,0.00283175563073806,-0.008804105581248183,2.298739592757263,6.097471361307045,-26.965873434957484,1.779392e-07,2.105979e-07,1.012843e-07,1.033302530663573e-08,5.0831589275615274e-09,5.3118454007193884e-09,1.8827222530663572e-07,2.1568105892756152e-07,1.0659614540071938e-07,-0.0004073810533947246,1.7301154412549972e-05,-5.312086806904776e-07,0.05488327184677046,0.023567781065653253,0.04983149578632221,-0.01662327510460976,-0.014045086658876653,-0.020916920729877594,0.09258291949210716,0.0009254952542684862,-0.0028944955932937596,0.013124742270328924,-1.362017332253156e-05,-4.056641420619334e-05,0.00018417903968905372
20,16209,1786181315.1256256,16180,0.005747318267822266,750.2376891539968,0.010371172086740271,-8.250570664989407e-05,0.002392716227997299,-0.010091051100526105,-0.19536056032818824,6.066207706641701,-26.709573983893364,1.675134e-07,1.506696e-07,1.362073e-07,1.0845256430820817e-08,4.908275722012703e-09,6.5304638100669595e-09,1.7835865643082082e-07,1.555778757220127e-07,1.4273776381006695e-07,-0.0005453087191192216,1.1588136746275495e-05,2.176807013270621e-06,0.060805608279858515,0.031548386267325916,0.04575147891357555,-0.018394892482252536,-0.018906714775179002,-0.01903770554016307,0.11457963511700733,0.002243444504014074,-0.0026251836854790165,0.013071743572074638,4.550205102434469e-06,-4.5189834701026346e-05,0.00019209861012629663
