rank,imu_index,timestamp,pose_index,dt,NIS,residual_norm,r_theta_x,r_theta_y,r_theta_z,standardized_diag_x,standardized_diag_y,standardized_diag_z,R_x,R_y,R_z,P_pred_theta_x,P_pred_theta_y,P_pred_theta_z,S_xx,S_yy,S_zz,rho_xy,rho_xz,rho_yz,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z,omega_hat_norm,bg_x,bg_y,bg_z,delta_bg_per_frame_x,delta_bg_per_frame_y,delta_bg_per_frame_z
11,14470,1786181306.429975,14441,0.004337310791015625,749.1239601770138,0.009165044109643099,-0.0005520120834128151,0.004160757614331809,-0.008147478890199704,-1.22486104593432,9.540099839666286,-25.624927597253734,1.931914e-07,1.85185e-07,9.60768e-08,9.914959900436358e-09,5.027473792526124e-09,5.016225405820857e-09,2.0310635990043636e-07,1.9021247379252612e-07,1.0109302540582086e-07,-0.0011003282149975886,1.3346684573981636e-05,-6.338155688510909e-07,0.04881543822404117,0.026429652505755807,0.04961989581905078,-0.014721043835472682,-0.015506543873514078,-0.020849188765955182,0.4029339528648761,0.0007815061576482553,-0.0019534812633412533,0.010550273481017986,1.5853780976285837e-05,-6.351405932388822e-05,0.00016987469448761193
12,16212,1786181315.139891,16183,0.0042285919189453125,569.4089021125911,0.009033455279879128,-0.00011260036457101071,0.0020964281419488485,-0.008786104056811498,-0.266908605099207,5.31626979886627,-23.26103725518955,1.675134e-07,1.506696e-07,1.362073e-07,1.0459731502847139e-08,4.835965034793099e-09,6.4633142950428925e-09,1.7797313150284714e-07,1.555055650347931e-07,1.4267061429504288e-07,-0.0004419003592527729,1.4530682936978599e-05,2.0638001734902713e-06,0.05877122387974337,0.031098151445022065,0.04530235113682265,-0.01778853522946193,-0.018667415649834186,-0.018849611680848248,0.12041062851723001,0.002257423897098786,-0.0027487335533225516,0.013594280901067898,4.445019094334677e-06,-3.90708467781168e-05,0.00016560266800412157
13,14491,1786181306.5356448,14462,0.005937099456787109,701.3921995464541,0.008886467053565139,0.0009167397528969581,0.002737748897873171,-0.008404380755995729,2.112343984908358,5.894460368619965,-25.732747290306317,1.779392e-07,2.105979e-07,1.012843e-07,1.0409593984900594e-08,5.126426345431541e-09,5.384922429410745e-09,1.883487939849006e-07,2.1572432634543155e-07,1.0666922242941075e-07,-0.00038417353372739705,1.681636233917313e-05,-4.831410948381184e-07,0.055267503722323814,0.023763640152353056,0.050482437933857226,-0.01674296371465139,-0.01417133548409988,-0.021188275511839456,0.08558233181592118,0.0009129379572529292,-0.0029339917006320384,0.013302838457695575,-1.255729701555696e-05,-3.9496107338278866e-05,0.00017809618736665082
14,16192,1786181315.039813,16163,0.004050016403198242,524.7714903348141,0.008837265204884072,-0.0005073527681163267,0.0029493599579399135,-0.008315114269127039,-1.096011336565268,7.034581850312833,-21.77386526469137,2.034469e-07,1.708896e-07,1.392915e-07,1.083721408178652e-08,4.894255249860967e-09,6.54471399727025e-09,2.1428411408178652e-07,1.7578385524986097e-07,1.4583621399727024e-07,-0.001047115737837322,7.853848320019446e-06,5.300389676670929e-07,0.050573002323554585,0.027841395732923036,0.04487715231527122,-0.015251295620111002,-0.0164863813448112,-0.018691834309280033,0.3209919207020257,0.0021248578056108193,-0.002001008668632297,0.011041623071047309,1.2748343973023601e-05,-4.791010400462714e-05,0.00015541757048189928
15,14471,1786181306.4356556,14442,0.005680561065673828,694.3437781613258,0.008830293248913932,-0.0005057464558210147,0.004028737791528491,-0.00784140109874183,-1.121844280895365,9.236843235615089,-24.653380650588844,1.931914e-07,1.85185e-07,9.60768e-08,1.0044553537137658e-08,5.050191064357398e-09,5.089152714028785e-09,2.0323595353713765e-07,1.902351910643574e-07,1.0116595271402878e-07,-0.001064146638694172,1.5779307487844627e-05,-8.4735587339118e-07,0.04942203651706575,0.026545989365845336,0.05030499445229816,-0.014908891271980194,-0.015590695966906239,-0.021136717553768006,0.3787480095888059,0.0007964089902544627,-0.0020154145983009002,0.010716015587381904,1.490283260620741e-05,-6.193333495964695e-05,0.00016574210636391765
16,14709,1786181307.6256502,14680,0.005757808685302734,502.86071030646883,0.008681669151305017,-0.0005398497941435623,0.004292748097178493,-0.007526769242288137,-1.267520522483279,9.37370402316772,-20.3327888660267,1.710334e-07,2.042821e-07,1.303025e-07,1.0366014398032132e-08,5.441998310509418e-09,6.729911666975288e-09,1.8139941439803213e-07,2.097240983105094e-07,1.370324116669753e-07,-0.0014525922869358906,-2.7743656912859306e-06,-8.941993770769756e-07,0.05714270658321589,0.02594631381450894,0.049111823867061866,-0.017184711511378015,-0.015054913008296937,-0.02043538777616405,0.5673818719791258,0.001437394904277376,-0.006469679097019906,0.013035038420142824,1.7959126649904006e-05,-6.34579396767785e-05,0.0001538139024733244
17,16213,1786181315.1456234,16184,0.005732536315917969,518.4786096395717,0.008620704154218745,-0.00012056860655757317,0.0019774450504464586,-0.008389977020120013,-0.2857909916197047,5.014457038196131,-22.209305612173022,1.675134e-07,1.506696e-07,1.362073e-07,1.0466686174849343e-08,4.8413658036845736e-09,6.501772011205713e-09,1.7798008617484934e-07,1.5551096580368455e-07,1.4270907201120572e-07,-0.00041918874780158387,1.4179546383585687e-05,1.2283866092181844e-06,0.05880802133985548,0.03113181956582727,0.04555962625208499,-0.017803465874239977,-0.018699182387657262,-0.018956153592239063,0.12185375023903704,0.0022618119789959337,-0.0027856293199602544,0.013753313564589087,4.388081897147619e-06,-3.689576663770287e-05,0.0001590326635211893
18,19370,1786181330.9299188,19341,0.004266977310180664,1335.3362160320562,0.008585314824547345,0.0008839360708937477,-0.0034871102003539395,0.007795277423527198,3.5029151494777078,-11.142459271920115,34.62508976378861,5.791453e-08,9.448351e-08,4.668211e-08,5.762452924842833e-09,3.4585499185034655e-09,4.003109965584037e-09,6.367698292484283e-08,9.794205991850346e-08,5.068521996558404e-08,0.0001852094812214824,5.268797357727767e-06,1.7857327472631293e-06,0.0904950371694027,0.03531217007335461,0.07897982817984413,-0.02781847669322392,-0.0219890611778685,-0.03343645703402451,0.07284200903491743,-0.00032522811422878544,0.006136264126049859,0.020063582612553397,-2.174937717130959e-05,7.7227240822186e-05,-0.00026063344101945676
19,20849,1786181338.3256645,20820,0.005781412124633789,830.3765013892641,0.008578316905471997,0.00018843587593808263,0.0026115352403813206,-0.008168959330270446,0.5919995269613599,8.041419219604776,-27.665069810361622,9.360314e-08,1.017762e-07,8.218606e-08,7.714359332903927e-09,3.6931754068254614e-09,5.004592324734216e-09,1.0131749933290392e-07,1.0546937540682545e-07,8.719065232473422e-08,-0.0007593566864394179,9.705272968490401e-06,-4.6326854221079285e-06,0.0761399106883934,0.035016010134829335,0.057398266692574876,-0.0232541514993722,-0.021593765577239046,-0.02414322322787859,0.2604529449351875,0.001302651465590683,-0.004570040658042652,0.014494635338963908,-8.393368356441038e-07,-5.647680083491983e-05,0.0001972676759804514
20,16193,1786181315.0456247,16164,0.0058116912841796875,488.5492529632409,0.008527087089905603,-0.00048474767200859395,0.0028317810881430335,-0.008028527249885406,-1.0469759675765267,6.7537168115218345,-21.020344787716468,2.034469e-07,1.708896e-07,1.392915e-07,1.0920153343817769e-08,4.91638723190917e-09,6.587272720075764e-09,2.1436705334381775e-07,1.7580598723190916e-07,1.4587877272007576e-07,-0.0010113771902830746,8.088426812592564e-06,4.131169198828212e-07,0.05094040832028793,0.027963850997906818,0.04515580017648233,-0.015365630643257352,-0.01657402921772168,-0.018805807727561765,0.30497121783676173,0.0021370213039121327,-0.002047276829941579,0.011192599109738188,1.2163498301313337e-05,-4.626816130928182e-05,0.0001509760386908792
