segment_id,start_imu_index,end_imu_index,start_timestamp,end_timestamp,frame_count,max_NIS,median_NIS,max_residual_norm,median_residual_norm,median_R_x,median_R_y,median_R_z,median_P_pred_theta_x,median_P_pred_theta_y,median_P_pred_theta_z,median_S_xx,median_S_yy,median_S_zz,median_abs_standardized_x,median_abs_standardized_y,median_abs_standardized_z,median_K_theta_x,median_K_theta_y,median_K_theta_z,median_abs_K_bg_x,median_abs_K_bg_y,median_abs_K_bg_z,median_omega_hat_norm
24,4849,4851,1786181258.3254037,1786181258.3355453,3,13.820106907503762,12.29707276338462,0.0010909348108841099,0.0010297331507735465,1.19811e-07,6.596756e-08,8.034688e-08,8.104148794158294e-09,2.9565205325719727e-09,4.966091562250705e-09,1.2791514879415832e-07,6.892408053257198e-08,8.531297156225071e-08,1.790009445337752,2.7590974786363387,1.216669829145458,0.06335566092437069,0.04289532060493506,0.05821027530038253,0.01935869575684052,0.02705954417141279,0.02449939904393762,0.004321566705848027
25,4909,4909,1786181258.6255531,1786181258.6255531,1,11.548851265750896,11.548851265750896,0.0009000576995757159,0.0009000576995757159,1.172046e-07,6.285088e-08,8.183412e-08,8.728118326794157e-09,2.981786886157416e-09,4.954549516618714e-09,1.2593271832679415e-07,6.583266688615741e-08,8.678866951661872e-08,0.8230346349066459,3.2306676112986192,0.6589873233875753,0.06930778943442915,0.04529342386108098,0.05708751549893269,0.021157075497706825,0.028597112498744602,0.02400684695458141,0.003449448760976663
26,5149,5153,1786181259.825607,1786181259.845539,5,16.55152256903677,13.915460431377385,0.0010848593744725687,0.0009947996097748682,1.367745e-07,6.775875e-08,8.256184e-08,8.631330384468992e-09,2.9451986855634113e-09,4.890604016530982e-09,1.4540583038446899e-07,7.07039486855634e-08,8.745244401653098e-08,0.0402874853105955,3.6850028161417265,0.5793201534981828,0.059360277098368636,0.041655363523817684,0.05592301131719319,0.01811020001736026,0.02631428202678209,0.023518881321650194,0.0047131415615344705
27,5229,5238,1786181260.2255344,1786181260.2696722,10,31.47983527860135,19.698058986841495,0.0016681337919193494,0.0012995083448961954,1.117685e-07,6.711295e-08,7.480936e-08,8.011520487041203e-09,2.9566848384896197e-09,4.726607183913379e-09,1.197800204870412e-07,7.006963483848963e-08,7.953596718391337e-08,2.4167350355894976,3.440448982619638,1.4152150261658378,0.0668852483660079,0.042196373219187566,0.05942726869754502,0.02043538999831721,0.02662325082793282,0.02503130294363394,0.004754246624298436
28,5329,5333,1786181260.7254002,1786181260.7454069,5,19.619307586230757,15.973469550925813,0.0015579730327183983,0.001407482365160785,1.410118e-07,6.693442e-08,8.049222e-08,8.434865475156018e-09,3.0855758994442702e-09,4.99811366474961e-09,1.4944666547515603e-07,7.001999589944427e-08,8.54903336647496e-08,3.2175997654984716,1.7422706637600092,1.6077942287914215,0.05644064019804021,0.04406706768960243,0.05846407950566708,0.01723476973558972,0.027763113894561993,0.02458635475040121,0.006647071233676746
29,5769,5771,1786181262.9255486,1786181262.9355483,3,13.580898514483655,12.432940057240273,0.0010080971240599636,0.0009622090966561252,1.257345e-07,6.602669e-08,7.19663e-08,8.52803514741325e-09,2.8511973280353506e-09,4.805773150283609e-09,1.3426253514741324e-07,6.887788732803535e-08,7.677207315028361e-08,1.0243573091420077,3.351698127423329,0.386958440128834,0.06351760852503897,0.04139495908204323,0.0625979337648332,0.019394030616150703,0.02615987223555604,0.026359202163400815,0.0036471914132593076
30,6089,6089,1786181264.5255418,1786181264.5255418,1,11.894171588269504,11.894171588269504,0.0011692883431628999,0.0011692883431628999,1.248763e-07,7.078343e-08,8.0378e-08,8.256633897920703e-09,3.0703832786173825e-09,4.96430744775733e-09,1.331329338979207e-07,7.385381327861738e-08,8.534230744775733e-08,2.7162407577467342,0.19529706232566038,2.116143902365095,0.06201796697543745,0.04157379479847663,0.05816936049604356,0.01893257633534548,0.026182531226160762,0.024456089455097224,0.005090525097338226
31,6289,6289,1786181265.5255527,1786181265.5255527,1,11.347638870640601,11.347638870640601,0.0009279631410282806,0.0009279631410282806,1.293866e-07,7.177566e-08,8.191686e-08,8.666614324218697e-09,2.968491268664916e-09,4.912547078357405e-09,1.380532143242187e-07,7.474415126866492e-08,8.68294070783574e-08,0.33805297838779463,3.2803421714482286,0.6875265793907506,0.06277734539165264,0.03971536521599487,0.05657699669909724,0.01916203303305719,0.02508609902090262,0.023822250385321608,0.010369712305488535
32,7009,7011,1786181269.12556,1786181269.135585,3,13.70615242028573,12.31978369314913,0.0011001952143455428,0.0010432640641862489,1.347659e-07,7.851669e-08,9.411743e-08,9.029873586723559e-09,3.2897194922086174e-09,5.516092143773298e-09,1.4379577358672357e-07,8.180640949220862e-08,9.96335221437733e-08,0.5000456783564848,2.9004422521472444,1.9123815354067832,0.06279651592521815,0.04021346874997404,0.0553638175664648,0.019131881852052845,0.025145835994528312,0.023189428041987852,0.00417683482556778
33,7109,7115,1786181269.6255863,1786181269.655628,7,20.920618078294517,16.050328832128045,0.001456445958056335,0.0012668625224152462,1.453897e-07,8.301307e-08,8.78853e-08,8.782260991680865e-09,3.2849416019925835e-09,5.096786013969445e-09,1.5417196099168087e-07,8.629801160199259e-08,9.298208601396944e-08,1.722364749963081,3.2052445694453615,1.6763603375102591,0.05696406100601414,0.03806509027184453,0.05481470928182879,0.017376926469618515,0.023864927764207552,0.023034169470026445,0.0030558041348338295
34,7389,7390,1786181271.025576,1786181271.029644,2,14.256191671841517,13.341866332901255,0.0010739263485738057,0.0010376229791217051,1.22299e-07,7.03242e-08,7.489128e-08,8.843949894753827e-09,3.0976991644502463e-09,4.952709789263263e-09,1.3114294989475383e-07,7.342189916445024e-08,7.984398978926326e-08,0.4968488614737806,0.09043907189636739,3.615347333354195,0.06743708632502736,0.042190360584562825,0.06202959019811624,0.020572978733443107,0.026579308949041217,0.026063691980657458,0.00533248845098378
35,7449,7451,1786181271.3256073,1786181271.3355494,3,14.590739005280511,13.211913425459967,0.0010930338498470278,0.001036714310170605,1.234218e-07,7.148064e-08,8.490626e-08,8.609524849652479e-09,2.863802874900458e-09,4.3863980494460924e-09,1.3203132484965249e-07,7.434444287490045e-08,8.929265804944609e-08,0.9910002269258634,3.133081755737374,1.5535802165646952,0.06520819858025265,0.03852073892728438,0.04912383778282314,0.019905279642086413,0.024347485813935744,0.020724207919449192,0.004131501352539499
36,7489,7497,1786181271.5255702,1786181271.5655608,9,27.86765078140138,18.39656874133285,0.0018070079428850292,0.0014570221956480885,1.333129e-07,6.133153e-08,9.484236e-08,8.645328811468e-09,2.974124520578381e-09,4.99798206503041e-09,1.41958228811468e-07,6.430565452057839e-08,9.984034206503042e-08,2.853863422812596,1.270773454784593,2.9389103417277744,0.06090051195913834,0.04624981337230415,0.050059744994742035,0.01858654123378353,0.029170651149906354,0.02106673516854601,0.005763129375064851
37,7529,7530,1786181271.725552,1786181271.729786,2,13.313767193326527,12.770803606846217,0.0010426336751766193,0.0010199132032484514,1.361209e-07,6.573227e-08,7.966214e-08,8.624640140798555e-09,2.9424484260343606e-09,4.909724788218548e-09,1.4474554014079857e-07,6.867471842603437e-08,8.457186478821855e-08,0.9669271430808557,2.452398465737035,2.4115614023087333,0.059584797856593735,0.04284614477866622,0.05805380144058303,0.01817948883220393,0.02706526403992326,0.024401556597848477,0.006681204147965926
38,7789,7792,1786181273.0255556,1786181273.0397286,4,15.755031352912155,13.761022250637964,0.0012139004460022438,0.0011300912264346449,1.279973e-07,7.121015e-08,8.578748e-08,8.588200202220836e-09,2.94166821332232e-09,4.461844233842107e-09,1.3658550020222085e-07,7.415181821332233e-08,9.024932423384212e-08,2.009666345614178,3.0651646135832014,0.5638056692480662,0.06287773779196162,0.0396708831857895,0.04943873532853134,0.019190800129574193,0.02500403457315871,0.020848266355101255,0.005045697399498326
39,7929,7930,1786181273.725572,1786181273.7299643,2,12.97121280217863,12.284379678666962,0.0010754703917599845,0.00104600781120607,1.25544e-07,7.229862e-08,8.370796e-08,8.226790242384927e-09,2.960781941490951e-09,4.503716955235127e-09,1.3377079024238493e-07,7.525940194149095e-08,8.821167695523512e-08,0.5634868303871243,0.490262456096873,3.4229814283755466,0.06149913425334987,0.03934102227140635,0.05105578143641507,0.018783481394801613,0.024812112553473556,0.021521485470099643,0.005721819392989184
40,8069,8075,1786181274.4255605,1786181274.455648,7,23.282269417016476,16.53000946947801,0.0015533374911309201,0.0013041260084307874,1.219445e-07,6.605418e-08,7.402901e-08,8.152070207578412e-09,2.9450281155481917e-09,4.6857884028891096e-09,1.3009657020757843e-07,6.899920811554819e-08,7.871479840288911e-08,2.964567265290485,2.3010721138323875,1.564080861059704,0.06266168424785142,0.04268205669629042,0.05952868450626468,0.01914485273163787,0.02695002758717416,0.025092127241491104,0.00444553207784218
41,8189,8189,1786181275.0254319,1786181275.0254319,1,11.441184059694548,11.441184059694548,0.0009756699731687298,0.0009756699731687298,1.140629e-07,6.721001e-08,7.94334e-08,8.068058264565803e-09,2.919395400904024e-09,4.864961102889309e-09,1.221309582645658e-07,7.012940540090402e-08,8.429836110288931e-08,1.3464091490146357,2.3928176567725137,1.9755500710056628,0.06606071367024209,0.041628691759114614,0.05771121809759386,0.020181719847185305,0.02630457349532775,0.024293010792153364,0.005569320055780801
42,8229,8235,1786181275.2255886,1786181275.2555687,7,18.917628482535704,14.569858119221225,0.0012264591438789784,0.001069233358063282,1.154006e-07,7.084119e-08,7.30065e-08,8.213650665551103e-09,2.8794059777366436e-09,4.6926585373755204e-09,1.236142506655511e-07,7.372059597773664e-08,7.769915853737552e-08,1.2207992504591578,3.624505170195272,0.16895939381164254,0.06644582335834227,0.03905836543434209,0.060395229824759776,0.020299586838670225,0.024691527085988766,0.02543168237630656,0.005074158934442892
43,8289,8291,1786181275.5255685,1786181275.535592,3,14.168941667611039,12.810735167675256,0.0011458723189330334,0.0010881540103482442,1.276297e-07,6.530973e-08,6.708455e-08,7.980558837887007e-09,2.8590648106966788e-09,4.730711164391971e-09,1.3561025883788702e-07,6.816879481069668e-08,7.181526116439197e-08,2.1176009106541747,2.44689970336991,1.5294271151296077,0.0588492264985672,0.04194096165634979,0.06587334066580174,0.017989325580617214,0.02652264336105212,0.027746077018332208,0.003854121987759614
44,8349,8352,1786181275.825639,1786181275.839948,4,15.90568543892293,13.368506708626391,0.0012906370059354562,0.001173744622847237,1.22084e-07,7.404652e-08,8.531404e-08,8.759244949004929e-09,3.1694983998763673e-09,4.921290412494598e-09,1.3084324494900493e-07,7.721601839987636e-08,9.023533041249461e-08,2.3740812275250573,2.080560487990886,1.841264548697647,0.06694453943322032,0.0410471461376276,0.05453839756480573,0.02042404626003888,0.025840857723553906,0.022948242381127276,0.004836186155924379
45,8369,8378,1786181275.925568,1786181275.969983,10,27.76339812745529,18.539997730139575,0.0015770671516461795,0.0012834385556976043,1.41344e-07,7.97883e-08,8.820632e-08,8.640459824384174e-09,3.165613555399074e-09,5.076886025952163e-09,1.4998445982438419e-07,8.295391355539907e-08,9.328320602595216e-08,0.7257568465429991,3.2695760418992292,2.7082761740745824,0.05760901201412642,0.03816110848481295,0.054424433580693724,0.017581493837575984,0.023991085025693384,0.022878281111921923,0.00558822801168943
46,8689,8690,1786181277.5255747,1786181277.5300899,2,13.78948171379907,12.983275836119152,0.001287178053433683,0.001247406882710397,1.202509e-07,9.472912e-08,1.000677e-07,8.512398911362226e-09,3.6286180955298933e-09,5.373240952655886e-09,1.2876329891136224e-07,9.83577380955299e-08,1.0544094095265588e-07,2.849708607434361,0.3832709708216998,2.168476978275596,0.06610879312980952,0.03689203718967374,0.05095971443799892,0.02018027507986299,0.02295207630349086,0.021365005347186262,0.005263704704303886
47,8869,8870,1786181278.425679,1786181278.4296396,2,13.666980759705977,12.851336240951552,0.0013139013826183586,0.001273355158041915,1.20488e-07,9.505895e-08,8.679146e-08,8.21276720357176e-09,3.580980217420467e-09,5.327675574934057e-09,1.2870076720357178e-07,9.863993021742047e-08,9.211913557493406e-08,3.4548477981673424,0.5693054394937259,0.7602372122383941,0.0638127252341909,0.036303535404310194,0.057834409478431895,0.01949143245447455,0.022598607642735122,0.02424341867246414,0.0065259105859166045
