imu_index,timestamp,dt,pose_index,has_pose_match,update_applied,skip_reason,omega_hat_x,omega_hat_y,omega_hat_z,a_hat_W_x,a_hat_W_y,a_hat_W_z,q_norm,P_min_eigenvalue,P_symmetry_error,r_position_x,r_position_y,r_position_z,r_theta_x,r_theta_y,r_theta_z,position_residual_norm,attitude_residual_norm,NIS,delta_p_x,delta_p_y,delta_p_z,delta_v_x,delta_v_y,delta_v_z,delta_theta_x,delta_theta_y,delta_theta_z,delta_bg_x,delta_bg_y,delta_bg_z,delta_ba_x,delta_ba_y,delta_ba_z
405,1786181236.1054957,0.005617856979370117,376,True,True,,0.00043251800429220484,2.1574088770747596e-05,-0.00424533276545744,0.0763160609954177,0.016618277796976492,0.013790885799652486,1.0,6.1650024228612795e-09,0.0,5.356225682550536e-07,-6.550141797567743e-06,-1.1264248315013062e-05,-2.202528412542465e-05,8.362010644728524e-06,-6.519930814038866e-06,1.3041262945211355e-05,2.4444751188099457e-05,0.005229728542994909,1.6784972104950985e-07,-2.037431712541473e-06,-3.5341157338606413e-06,4.708039317022021e-06,-5.6809294102765915e-05,-9.897787883765168e-05,-2.305807064384596e-06,8.052189633681701e-07,-6.642252342706229e-07,2.3790658023396604e-07,-3.623208923558621e-08,5.644733826064298e-08,7.153267412302085e-06,1.802095604299303e-05,2.2532536976767385e-07
406,1786181236.109659,0.004163265228271484,377,True,True,,-0.002763512902288029,0.001086873320859983,0.0010809337872042975,0.06425667362641369,0.011641962351915666,-0.00045150694651852064,1.0,5.704508360643598e-09,0.0,8.613972467819142e-07,-5.955742984189993e-06,-9.002436643538309e-06,-2.0211102553803808e-05,5.049283227642326e-06,-1.0388048117545065e-05,1.0828515375221715e-05,2.3278648398172874e-05,0.004806296106963197,2.427684021166489e-07,-1.6686207054603368e-06,-2.539429513288166e-06,6.327348943420513e-06,-4.326645064449762e-05,-6.611530449706833e-05,-1.9763987801368734e-06,4.4944001708380913e-07,-9.853768346366274e-07,2.3094581979903592e-07,-2.3320771496272922e-08,9.536675779365531e-08,3.884945772685774e-06,1.4934961675768215e-05,1.730920741183134e-07
407,1786181236.1154926,0.005833625793457031,378,True,True,,-0.001698479848107828,2.1633641631479354e-05,1.5573420446505365e-05,-0.01486655395902965,-0.010287194244235262,-0.028445242506961677,0.9999999999999999,5.34804378420164e-09,0.0,1.1411991983970027e-06,-5.2084822528553065e-06,-8.939024262208904e-06,-1.0372440344434154e-05,-3.5695430478738655e-06,4.624170111498224e-07,1.0408495460396286e-05,1.097920697325953e-05,0.0010679363234556794,3.1222034291899395e-07,-1.418195384205189e-06,-2.447388180287305e-06,7.39450825349701e-06,-3.347707777376609e-05,-5.795572398470996e-05,-9.684268347606153e-07,-2.9772571411636986e-07,4.164118366618444e-08,1.320182567625554e-07,1.8500256837107398e-08,-4.74009569230433e-09,-2.575765287953027e-06,6.916448043584288e-06,5.5532734534739e-08
408,1786181236.1197007,0.004208087921142578,379,True,True,,0.0014971821336354093,-0.003174179858625358,0.004276636160542198,-0.06966507272436495,-0.01717528969822465,0.01031960057074599,1.0,5.0174754951205895e-09,0.0,6.460062278879769e-07,-5.494093164859493e-06,-8.364743375444822e-06,-1.173377671028939e-05,4.0520251062458485e-06,-1.1589697359611131e-05,1.0028525090344735e-05,1.6982977013349385e-05,0.0029490060326222223,1.6105520073408446e-07,-1.3636368675130472e-06,-2.0855480164740986e-06,3.589552921000042e-06,-3.021092022786347e-05,-4.6355677376398495e-05,-1.0386855195383311e-06,3.1690072159891297e-07,-9.862467768807997e-07,1.5629048643147561e-07,-2.2165035866196037e-08,1.2464338060536086e-07,2.611920986813034e-06,7.178598283917548e-06,9.420229219792901e-08
409,1786181236.125497,0.0057964324951171875,380,True,True,,0.00043176084314897783,2.163730641050821e-05,-0.0010498084828384092,-0.07434635224450452,0.014326634358243903,0.0579611724369844,1.0,4.781579578423427e-09,0.0,0.0010521783568647452,-0.0010164266026078637,-0.0005191215636477006,-0.0006741126575920893,1.3343986370948147e-05,0.00026125793875747864,0.0015523174710694954,0.0007230917283871694,5.693507872926554,0.00025833092486627924,-0.00024216967340177825,-0.00012654670998715688,0.005301563826862623,-0.004950887110008174,-0.0025926577962855062,-5.767521933192568e-05,9.427164918044462e-07,2.228293420210166e-05,9.794990033550233e-06,-7.770876241449087e-08,-3.2054901176593373e-06,-3.915954692677563e-06,0.00037272678912457903,4.233770734075542e-06
410,1786181236.1297343,0.004237174987792969,381,True,True,,0.0014872308531154275,2.1715015172922656e-05,1.865900727925085e-05,-0.04596982770032002,-0.002765002964541366,-0.004349085016716714,1.0,4.548393763982523e-09,0.0,0.0007940233197420987,-0.0007739507973286847,-0.0003955619209060927,-0.0006087461347164697,1.0264041259140463e-05,0.00024293159442457713,0.001177260422443092,0.000655509699886187,4.396446030224871,0.00017888454389375808,-0.0001702469519403555,-8.859961899749742e-05,0.003474687544111676,-0.0032912418903477928,-0.0017170177965906512,-4.9928222708131546e-05,6.899268487382933e-07,1.9736118540478274e-05,9.180107295078347e-06,-6.288519667494663e-08,-3.0932010759628783e-06,-3.937045925245861e-06,0.0003086237353039688,3.4998667070516353e-06
411,1786181236.135484,0.005749702453613281,382,True,True,,0.005739108745820349,-0.0010434880996304024,0.0021522832083552164,-0.0052847320874972355,-0.0049914041867109805,-0.01179264144744785,1.0,4.372107074477669e-09,0.0,0.0005958361357642859,-0.0005838256740190312,-0.00030097373044959356,-0.0005718304288980107,1.9523293761189713e-05,0.0002169093641399738,0.0008868248444574821,0.0006118993958687787,3.582763186206876,0.00013017954567049066,-0.00012507920477448226,-6.54282834132867e-05,0.0023577260987782318,-0.0022508619657201395,-0.0011811329005463418,-4.584967772018488e-05,1.2614895977292803e-06,1.708569925660681e-05,9.286595551085854e-06,-1.288905756515075e-07,-2.97568520313864e-06,1.3330184683013896e-06,0.0002662706886359017,3.0803513159090293e-06
412,1786181236.1394973,0.0040132999420166016,383,True,True,,0.0014687641502692634,0.002152435790945249,0.0010899928935583537,0.05693597859108537,0.04554450192594538,0.008861009254566454,1.0,4.1852399676166635e-09,0.0,0.00044268547004449807,-0.00043613323197256096,-0.00022656640629016046,-0.0005179078612071559,1.1557381948215668e-05,0.00020550435105403205,0.0006614491347628991,0.0005573097559524743,2.8767879616390175,8.906060759458954e-05,-8.630817319446905e-05,-4.5379824519494706e-05,0.0015409675335746257,-0.0014812383997197718,-0.0007819814706460417,-4.003728676452688e-05,7.153756502790312e-07,1.553004742592618e-05,8.62028215282106e-06,-7.934405024443056e-08,-2.8929216620387275e-06,-1.1886311794330721e-06,0.00022217672684440035,2.533592460910632e-06
413,1786181236.1455085,0.006011247634887695,384,True,True,,0.006786465868116443,-0.0010432798650045062,0.004288678815220395,0.10489182380681934,0.03613008727004286,-0.0009617259706189429,1.0,4.0569696618622404e-09,0.0,0.0003104206318012455,-0.0003063173577778078,-0.00016370654511387982,-0.0004787061977714892,1.3016145735076251e-05,0.0001743141001462368,0.0004658230621566355,0.0005096218689817237,2.2982643917837606,6.130692774872497e-05,-5.9613722040076945e-05,-3.2191674973723395e-05,0.0009943269236577332,-0.0009561017870965158,-0.000519289531058114,-3.656990409212483e-05,7.818091456686439e-07,1.2918651582063872e-05,8.550467803604467e-06,-9.645365108964208e-08,-2.637133304753618e-06,1.8873737763951554e-07,0.00018927994619199833,2.169529920301055e-06
414,1786181236.1496136,0.004105091094970703,385,True,True,,0.006777915400312838,-0.0010431834113534167,3.0257948525146128e-05,0.078294322322808,-0.022174085285728087,-0.05532225281554304,1.0,3.9078304304719076e-09,0.0,0.00021598930735399792,-0.00021396144634128547,-0.00011872549385852707,-0.0004699514186432148,8.547111531885386e-06,0.00015523472698435463,0.0003263841667478153,0.0004950002115779505,2.094242010399698,3.967378373124765e-05,-3.8777142182035315e-05,-2.1717112317066928e-05,0.0006172493450034114,-0.0005943678661822839,-0.00033567353336794924,-3.4848310174685824e-05,4.950906112143282e-07,1.1121470474801525e-05,8.573019909108293e-06,-6.54598137826756e-08,-2.4032186020097892e-06,-4.970341779156952e-07,0.00017174107152495354,1.9061082577167604e-06
