timestamp,imu_index,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad,bg_x_rad_s,bg_y_rad_s,bg_z_rad_s,has_pose_match,update_applied
1786181236.0552757,395,-0.004655000591862415,0.0034620004401778046,0.0014460001838524279,0.9999821271432356,-0.009300180540451945,0.006937395038491113,0.002859790166117567,0.0004031922954545454,0.0023910497929292927,0.016651391025252527,True,False
1786181236.0597367,396,-0.004643897387343056,0.003462035555103481,0.0014464925234001016,0.9999821779343124,-0.009277969999590036,0.006937438082081202,0.0028608515577463094,0.00040320855554661707,0.0023910498403201656,0.016651389482562985,True,True
1786181236.0655003,397,-0.004643111857367803,0.00346041085021226,0.0014527904782911604,0.9999821780756165,-0.009276359768691228,0.006934244866073533,0.002873468061711507,0.0004031723169037109,0.0023910591226965166,0.01665138829576186,True,True
1786181236.0697799,398,-0.004626146231809266,0.003453505576686843,0.0014584643170479632,0.9999822723189195,-0.009242407713176868,0.006920438085830716,0.002884997166604593,0.00040317098558613723,0.0023910607212134023,0.016651411646898442,True,True
1786181236.075496,399,-0.004616647914007941,0.0034504181124315604,0.001454944673246776,0.9999823320003636,-0.0092234435996084,0.006914203325647638,0.00287805197065016,0.0004032093100829196,0.002391062498862127,0.01665142938808974,True,True
1786181236.0796475,400,-0.0046141276776166616,0.0034480524649787084,0.0014569846954892542,0.9999823488220032,-0.00921839555070192,0.006909483609836985,0.0028821712361300285,0.00040324606228015766,0.0023910676603719995,0.016651439520103076,True,True
1786181236.0854971,401,-0.004611269540578122,0.0034426614299569026,0.0014618904934240293,0.9999823734204959,-0.009212660471846832,0.006898738558777642,0.0028920522222761376,0.0004033835038737428,0.002391040715514989,0.01665153857231364,True,True
1786181236.089671,402,-0.004617317629643598,0.0034472362772543907,0.0014564886657869364,0.9999823376343815,-0.00922478135724334,0.006907855861992318,0.0028811646399919885,0.0004034119606871696,0.0023910353774731614,0.01665162698723414,True,True
1786181236.095496,403,-0.004608251678107506,0.0034445211183067857,0.001453241190562814,0.9999823935353958,-0.009206679021456164,0.006902369555041559,0.0028747572076453175,0.0004036272774177194,0.0023910156923876748,0.016651647190326854,True,True
1786181236.0998778,404,-0.0046151454539277255,0.003444843794597062,0.00145917080655834,0.9999823519963876,-0.009220425112569755,0.006903089395936821,0.0028865659843408577,0.0004037740234004825,0.0023909969117327807,0.016651804765551725,True,True
1786181236.1054957,405,-0.004615126342940903,0.003445250532703508,0.0014469117230720221,0.9999823684966007,-0.009220470375381701,0.006903789777966708,0.0028620440034646667,0.00040401194017784066,0.002390960679852243,0.016651861212936363,True,True
1786181236.109659,406,-0.004621864590219023,0.0034477360318614183,0.0014486808567411471,0.9999823262476891,-0.009233928063051646,0.006908796369399582,0.0028655128767973996,0.0004042428974420192,0.002390937359513874,0.016651956579747336,True,True
1786181236.1154926,407,-0.0046273025061487885,0.0034476426992657303,0.001448766248102425,0.9999823012972245,-0.009244803866286884,0.006908626077275412,0.0028656469513445733,0.0004043749298154205,0.00239095586059999,0.016651951839719886,True,True
1786181236.1197007,408,-0.004624632991799783,0.003441165814631413,0.0014572923023841665,0.9999823235671083,-0.009239424046239219,0.006895743508417022,0.0028827773597437465,0.00040453123799884044,0.00239093369611799,0.016652076483175925,True,True
1786181236.125497,409,-0.004652193035567597,0.00344169679989086,0.0014654835131863787,0.9999821819318433,-0.009294487662166064,0.006896961054452688,0.0028989649356334704,0.00041433066446293907,0.0023908572585093608,0.01664887103702639,True,True
1786181236.1297343,410,-0.004673973492342888,0.0034421015264632835,0.0014754641799782817,0.9999820642963194,-0.00933797978866892,0.006897926842865954,0.002918772433934095,0.00042351464992287685,0.0023907954865544125,0.016645777874941554,True,True
1786181236.135484,411,-0.004680345956563214,0.0034397912199914662,0.001490227386621738,0.9999820205485827,-0.009350629897253989,0.00689346290421345,0.002948276682104641,0.000432804957515122,0.0023906676718375122,0.0166428022276378,True,True
1786181236.1394973,412,-0.004697390422848263,0.0034444888508787306,0.0015002163794613896,0.9999819095216606,-0.009384637276435761,0.006903002103827291,0.002968093336292447,0.000441428287992506,0.0023905892215363655,0.01663990933720141,True,True
1786181236.1455085,413,-0.004695207701141193,0.003441837591690195,0.0015195710747421538,0.9999818996773815,-0.009380145906477339,0.006897874691056359,0.0030068429195759597,0.0004499814209104831,0.002390493564644118,0.016637272230895582,True,True
1786181236.1496136,414,-0.0046986979397604395,0.0034399648454425465,0.001525214758397112,0.9999818811355903,-0.009387093179303325,0.006894192694501443,0.003018123842218585,0.0004585564357337333,0.002390428714288351,0.016634869032063127,True,True
1786181236.1555245,415,-0.004731101819192964,0.003433921104540396,0.001524471849781544,0.9999817502569752,-0.00945192569952649,0.0068821960644502534,0.003016471607512071,0.000466252439627498,0.0023903592501312338,0.016632392528636707,True,True
1786181236.1597555,416,-0.004730387029660965,0.003429848595989214,0.001531328614250109,0.9999817571385158,-0.009450460967720321,0.006874113742961417,0.0030302285656159476,0.0004737269843338062,0.002390250427072032,0.016630186057200968,True,True
1786181236.1654968,417,-0.0047363315825138955,0.0034301675531803696,0.0015296356013610715,0.9999817304974251,-0.009462361096796053,0.006874753646846646,0.0030267986374477723,0.00048130411713921857,0.002390159991097056,0.01662795316583985,True,True
1786181236.1697636,418,-0.00475175306762584,0.0034282003601609893,0.0015337562374872686,0.9999816577702207,-0.009493182439331586,0.006870905082141687,0.0030349525845816605,0.0004882908799978343,0.002390067964231556,0.016625800869202817,True,True
1786181236.1755092,419,-0.00475605862201662,0.0034257945752485005,0.0015434318439208035,0.9999816306593114,-0.009501734499183914,0.006866198546643735,0.0030542971698614765,0.000495472747467593,0.0023898605431391592,0.016623857985838986,True,True
1786181236.1796017,420,-0.004774462819513432,0.003432798059946628,0.0015465957706185308,0.9999815140510284,-0.009538501220199171,0.006880291814397898,0.003060432042307532,0.0005021662003790921,0.002389690421494064,0.01662206323725185,True,True
1786181236.1854954,421,-0.004789918808138034,0.0034362920270901197,0.0015497304737632583,0.9999814232826403,-0.009569382011088676,0.006887357001371782,0.003066561788145796,0.0005089713139040208,0.0023895659518073354,0.01662023661066531,True,True
1786181236.189941,422,-0.004812272699502471,0.0034365212333964347,0.0015572577860438867,0.999981303475953,-0.00961403851725184,0.006887956328220169,0.0030814603613693323,0.0005150829512274367,0.0023894883156830335,0.01661857774269132,True,True
1786181236.1955345,423,-0.004820057899667241,0.003431041903519196,0.0015626680628179586,0.9999812763556255,-0.009629588672149936,0.006877073832328744,0.0030922800178178156,0.0005212437058805829,0.002389302946942331,0.016617102510524766,True,True
1786181236.1995327,424,-0.004835593361861754,0.0034335234956986847,0.0015649891354577075,0.9999811892042016,-0.009660636990067436,0.006882107445470913,0.0030967914333326825,0.0005267612681846575,0.0023891502839621,0.01661563381308266,True,True
1786181236.2054985,425,-0.004838196558925577,0.0034338803936579316,0.0015733408039138592,0.9999811622816772,-0.009665784967049715,0.006882910024050863,0.003113473534242027,0.0005317466911726288,0.0023890241120527065,0.01661435660989862,True,True
