imu_index,timestamp,dt,pose_index,has_pose_match,update_applied,skip_reason,omega_hat_x,omega_hat_y,omega_hat_z,q_norm,P_theta_x,P_theta_y,P_theta_z,P_bg_x,P_bg_y,P_bg_z,P_min_eigenvalue,P_symmetry_error,r_theta_x,r_theta_y,r_theta_z,residual_norm,R_x,R_y,R_z,NIS,delta_theta_x,delta_theta_y,delta_theta_z,delta_bg_x,delta_bg_y,delta_bg_z,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z
405,1786181236.1054957,0.005617856979370117,376,True,True,,0.0004325179765995175,2.1574088267219387e-05,-0.004245332765551725,1.0,1.2388381237762466e-08,6.261278316067724e-09,7.837647871150867e-09,5.297367200814556e-08,1.1509618320066579e-08,2.7439004419912226e-08,6.246199171324912e-09,0.0,-2.2025271614587308e-05,8.362011098006371e-06,-6.519930891848788e-06,2.4444740091357307e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.005138455703098676,-2.3058118385381357e-06,8.052188641127438e-07,-6.642252613574359e-07,2.379167773581664e-07,-3.62318805375843e-08,5.644738463906657e-08,0.10468995586875537,0.09629670672613495,0.10187780316114523,-0.01080211233061666,-0.004332820946984858,-0.008657538166698715
406,1786181236.109659,0.004163265228271484,377,True,True,,-0.0027635129401778406,0.0010868733201477567,0.0010809337870636357,1.0,1.1571689726295625e-08,5.787617697900093e-09,7.297530620928651e-09,5.2998177451567276e-08,1.1549728524212612e-08,2.7473473860384535e-08,5.772009586255119e-09,0.0,-2.0211085111066483e-05,5.049283783121926e-06,-1.038804816759246e-05,2.3278633396775946e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.004741271288747676,-1.976403962941627e-06,4.494397473316762e-07,-9.85376836436021e-07,2.309572641785397e-07,-2.33203383690756e-08,9.536681097081048e-08,0.09778837634427648,0.08901193908980949,0.09485707962209966,-0.011427276433206623,-0.004618509158639628,-0.009180353148448665
407,1786181236.1154926,0.005833625793457031,378,True,True,,-0.0016984798974420193,2.163364048612601e-05,1.5573420252663894e-05,1.0,1.104837618238661e-08,5.423153040727442e-09,6.927513910334038e-09,5.3035365459208297e-08,1.160615908264384e-08,2.7522928720664427e-08,5.404838393867678e-09,0.0,-1.0372417431091758e-05,-3.5695422160396807e-06,4.6241696396688877e-07,1.0979185053794746e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.001006441505710618,-9.684333869653712e-07,-2.977262977271153e-07,4.164121392111743e-08,1.3203237340126225e-07,1.850108611582964e-08,-4.740027448945389e-09,0.09336603328197171,0.08340657474898766,0.09004741092720622,-0.012729121772466856,-0.005183102438096323,-0.010249364826613342
408,1786181236.1197007,0.004208087921142578,379,True,True,,0.0014971820701845794,-0.0031741798605999898,0.004276636160280116,1.0,1.0475203341136441e-08,5.085032202915541e-09,6.5466945267450215e-09,5.30544075187833e-08,1.1646129312622613e-08,2.755528404394506e-08,5.065807739125117e-09,0.0,-1.1733746977722979e-05,4.05202652964625e-06,-1.1589697436252117e-05,1.6982956862632875e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.0028906661363852274,-1.038693778632815e-06,3.1690034004255404e-07,-9.862467402161119e-07,1.5630818341994954e-07,-2.216448199956128e-08,1.2464345603930926e-07,0.08852234641827969,0.07820637097152881,0.0850973234981893,-0.01332135348789929,-0.005470148245257217,-0.010754533552056328
409,1786181236.125497,0.0057964324951171875,380,True,True,,0.00043176076200115954,2.1637303882009965e-05,-0.001049808483175924,1.0,1.0139604363396707e-08,4.845879330189037e-09,6.276377258428439e-09,5.308498618618646e-08,1.1701669436708057e-08,2.7601137256812267e-08,4.823389193522822e-09,0.0,-0.0006741126191298265,1.3343988185667278e-05,0.0002612579386469424,0.0007230916925237236,1.185073e-07,6.865802e-08,7.358879e-08,4.357334015485237,-5.7677926641565885e-05,9.41923142803482e-07,2.2282917903242284e-05,9.79942646409862e-06,-7.643760862940416e-08,-3.205446149533146e-06,0.08556101069857046,0.07057994569773711,0.08528985534926346,-0.014536719227534448,-0.0057285496711642365,-0.012269530047027988
410,1786181236.1297343,0.004237174987792969,381,True,True,,0.0014872263355370607,2.1713741490639316e-05,1.8658962973608362e-05,1.0,9.720186845751115e-09,4.6086863193822606e-09,5.978397540497091e-09,5.309797443100151e-08,1.1741375988448854e-08,2.7630523367083732e-08,4.58483343194137e-09,0.0,-0.0006087433696969641,1.0264841452200017e-05,0.00024293161107709802,0.0006555071508233667,1.185073e-07,6.865802e-08,7.358879e-08,3.60873283199703,-4.9930385638015144e-05,6.89281513560248e-07,1.973609921532658e-05,9.183985459937756e-06,-6.177195494831218e-08,-3.093162084837782e-06,0.08202184039794104,0.06712524351883875,0.0812406011706751,-0.015086740578474549,-0.006017703471237834,-0.012732882725922698
411,1786181236.135484,0.005749702453613281,382,True,True,,0.005739100350077123,-0.0010434904865544124,0.0021522831250584476,1.0,9.502425910683436e-09,4.431400505845414e-09,5.796414684515093e-09,5.312146420362774e-08,1.1795725032628538e-08,2.7672986499833174e-08,4.404047552994501e-09,0.0,-0.0005718254525744841,1.9524752667002185e-05,0.00021690940078565374,0.0006118948049525445,1.185073e-07,6.865802e-08,7.358879e-08,3.1321385598652816,-4.5851619571922526e-05,1.2608955242511374e-06,1.7085676035836706e-05,9.290307592245151e-06,-1.2781471690027517e-07,-2.975647303753539e-06,0.08018430858647366,0.06454308613613394,0.07876763135932947,-0.01624664250178384,-0.0065491096813869885,-0.01371874783487849
412,1786181236.1394973,0.0040132999420166016,383,True,True,,0.0014687520424848778,0.0021524323281624873,0.0010899927723622,1.0,9.161730448102905e-09,4.241939801687572e-09,5.5611078123291996e-09,5.312598941705113e-08,1.1832482791351363e-08,2.7697344538948526e-08,4.2134035611527586e-09,0.0,-0.0005179008943471406,1.1559448509516101e-05,0.00020550441165246308,0.0005573033468624042,1.185073e-07,6.865802e-08,7.358879e-08,2.6207037949357983,-4.003868598445028e-05,7.149298576184427e-07,1.553002869234486e-05,8.623330477383974e-06,-7.84503011468028e-08,-2.892890436389686e-06,0.07730941849835186,0.06178360218701815,0.07557004010995078,-0.01665052674358086,-0.006791383360767557,-0.014077168608976735
413,1786181236.1455085,0.006011247634887695,384,True,True,,0.006786450712007494,-0.0010432842215363654,0.004288678662798591,1.0,9.053553273801682e-09,4.114604739774787e-09,5.453705657400762e-09,5.3145139740434094e-08,1.1888640851603219e-08,2.7739265956381085e-08,4.081910934120741e-09,0.0,-0.0004786977404745932,1.301868391700141e-05,0.00017431418042302386,0.0005096140170393298,1.185073e-07,6.865802e-08,7.358879e-08,2.1705520156837266,-3.6571002243971664e-05,7.814378565613353e-07,1.291863782987516e-05,8.55313291797709e-06,-9.565689224733018e-08,-2.6371063058298988e-06,0.07639658719429986,0.05992897455246129,0.0741105493949952,-0.017867409824218645,-0.007358272689677637,-0.01512873888156154
414,1786181236.1496136,0.004105091094970703,385,True,True,,0.006777897579089517,-0.001043188564644118,3.0257769104417853e-05,1.0,8.78797930242898e-09,3.96410345815284e-09,5.272039789337398e-09,5.3143573546968285e-08,1.192547951802291e-08,2.7761318387270764e-08,3.930020764100335e-09,0.0,-0.00046994178999448913,8.55004202625447e-06,0.00015523482180138554,0.0004949911505285555,1.185073e-07,6.865802e-08,7.358879e-08,2.030373564275399,-3.484892898234018e-05,4.948547041842618e-07,1.1121464658991785e-05,8.575014823250265e-06,-6.485035576665539e-08,-2.4031988324549907e-06,0.07415559468163287,0.057736932308917535,0.07164188713934376,-0.018246871747461237,-0.0076032143452269794,-0.015481440435879653
415,1786181236.1555245,0.0059108734130859375,386,True,True,,-0.006013850435733733,-0.002108386714288351,-0.0020978660320631268,1.0,8.726508519532278e-09,3.866710313963591e-09,5.201288100492475e-09,5.315474016712292e-08,1.1979762911398533e-08,2.779897460382093e-08,3.828356161910503e-09,0.0,-0.0003975425713954284,8.537725755608403e-06,0.00015046684914446975,0.0004251508691326314,1.185073e-07,6.865802e-08,7.358879e-08,1.5223027008255348,-2.9273967464250672e-05,4.815012425260526e-07,1.0635288611495428e-05,7.69600389376468e-06,-6.946415711748317e-08,-2.4765034264202586e-06,0.07363688584473589,0.056318406917725404,0.07068044061188546,-0.019358721164704707,-0.008143874973134789,-0.01645946977198202
