timestamp,imu_index,px_m,py_m,pz_m,vx_mps,vy_mps,vz_mps,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad,bg_x_rad_s,bg_y_rad_s,bg_z_rad_s,ba_x_mps2,ba_y_mps2,ba_z_mps2,has_pose_match,update_applied
1786181236.0552757,395,-0.010329,-0.017832,-0.00375,0.0,0.0,0.0,-0.004655000591862415,0.0034620004401778046,0.0014460001838524279,0.9999821271432356,-0.009300180540451945,0.006937395038491113,0.002859790166117567,0.0004031922954545454,0.0023910497929292927,0.016651391025252527,-0.030314020736197114,0.05868351898243027,-0.05704597643735809,True,False
1786181236.0597367,396,-0.010329376326122767,-0.017838394169895067,-0.0037640412512906234,-0.0003506044901931512,-0.00019259181900752224,-0.0004918834355346417,-0.004643897387343056,0.003462035555103481,0.0014464925234001016,0.9999821779343124,-0.009277969999590036,0.006937438082081202,0.0028608515577463094,0.00040320855554661707,0.0023910498403201656,0.016651389482562985,-0.030314546225612093,0.05876398993886264,-0.05704523166710102,True,True
1786181236.0655003,397,-0.010330772354041774,-0.017848875699265795,-0.003787937266519865,-0.00034755322762867764,-0.0008200858886730743,-0.001860643467965628,-0.004643111857344882,0.003460410849814419,0.0014527904784643276,0.9999821780756177,-0.009276359768645303,0.006934244865279397,0.002873468062061686,0.00040317231690399505,0.002391059122694529,0.016651388295763625,-0.030348036433655908,0.058713992940587066,-0.05704592722809935,True,True
1786181236.0697799,398,-0.010330362290740587,-0.01786040026900078,-0.0038140502386219423,7.31331413343742e-05,-0.00120555221665821,-0.0030250420572410777,-0.004626146231567179,0.003453505576032727,0.0014584643173536668,0.9999822723189224,-0.009242407712692411,0.006920438084524618,0.0028849971672237134,0.00040317098520377024,0.0023910607211945936,0.01665141164690279,-0.030351436801995885,0.0587131338444855,-0.057045955126081536,True,True
1786181236.075496,399,-0.010327801953773105,-0.017875602893212432,-0.0038495395070912305,0.0006061285282111836,-0.0014978334458652237,-0.0040390101906785806,-0.004616647913385115,0.003450418111823167,0.001454944673547801,0.9999823320003682,-0.009223443598362349,0.006914203324431843,0.002878051971262122,0.0004032093081957018,0.002391062498807242,0.016651429388095614,-0.03035349658357893,0.058729442431634325,-0.057045811458920084,True,True
1786181236.0796475,400,-0.01032470204804193,-0.017887704237555216,-0.0038783899096151305,0.0006606805562706733,-0.0017830623994601882,-0.004759482961393095,-0.004614127676605419,0.003448052464627703,0.001456984695674912,0.9999823488220089,-0.009218395548679086,0.0069094836091337765,0.0028821712365115636,0.00040324605819643244,0.002391067660264792,0.016651439520106816,-0.030357598107711124,0.05874054109272846,-0.05704573085029984,True,True
1786181236.0854971,401,-0.01032138082343711,-0.01790355392805936,-0.0039165975045949075,0.0003903920459383698,-0.002043344242575941,-0.005304645223075749,-0.004611269538762748,0.0034426614299068654,0.001461890493465409,0.9999823734205043,-0.009212660468215842,0.006898738558672699,0.0028920522223718813,0.00040338349574097344,0.002391040715353373,0.01665153857230633,-0.030343622603676866,0.058768445186803825,-0.057045367166835115,True,True
1786181236.089671,402,-0.01031969157404976,-0.01791574868305239,-0.003945032650995542,0.00023610569181028125,-0.0021863917840997033,-0.005402362967450058,-0.004617317626887034,0.003447236277374534,0.001456488665755592,0.999982337634394,-0.009224781351729938,0.006907855862224372,0.0028811646399472357,0.00040341194791394846,0.002391035377182744,0.016651626987207305,-0.03034158541272003,0.05877306033182418,-0.05704530375735577,True,True
1786181236.095496,403,-0.010318360307028429,-0.017932055095402924,-0.003982430708878916,0.00015689660600994693,-0.002374068460963881,-0.00572903342462815,-0.004608251673638211,0.0034445211185081905,0.0014532411905023425,0.9999823935354157,-0.009206679012517179,0.00690236955543096,0.002874757207553373,0.00040362725732789103,0.0023910156919907644,0.016651647190267304,-0.030335589395311165,0.05879823805757987,-0.05704502062632687,True,True
1786181236.0998778,404,-0.01031728491469557,-0.01794512518415879,-0.004011712215558283,0.00027501814176370427,-0.0025965262474955874,-0.005917053177542029,-0.004615145447750658,0.003444843794830947,0.001459170806496822,0.9999823519964154,-0.009220425100215044,0.006903089396386191,0.002886565984258311,0.00040377399570779514,0.0023909969112292525,0.01665180476545744,-0.0303310596052417,0.05881238834006013,-0.0570448506484799,True,True
