timestamp,time_s,imu_index,roll_rad,pitch_rad,yaw_raw_rad,yaw_unwrapped_rad,roll_deg,pitch_deg,yaw_raw_deg,yaw_unwrapped_deg
1786181236.0552757,0.0,395,-0.009300180540451945,0.006937395038491113,0.002859790166117567,0.002859790166117567,-0.5328610936775935,0.39748345652053807,0.16385390681155318,0.16385390681155318
1786181236.0597367,0.004461050033569336,396,-0.009277969999590036,0.006937438082081202,0.0028608515577463094,0.0028608515577463094,-0.5315885234255032,0.39748592273658523,0.16391472007229063,0.16391472007229063
1786181236.0655003,0.010224580764770508,397,-0.009276359768691228,0.006934244866073533,0.002873468061711507,0.002873468061711507,-0.53149626399096,0.3973029649362722,0.16463759250170654,0.16463759250170654
1786181236.0697799,0.014504194259643555,398,-0.009242407713176868,0.006920438085830716,0.002884997166604593,0.002884997166604593,-0.5295509545041932,0.39651189469969417,0.16529816155364396,0.16529816155364396
1786181236.075496,0.020220279693603516,399,-0.0092234435996084,0.006914203325647638,0.00287805197065016,0.00287805197065016,-0.5284643908345132,0.3961546692549276,0.16490023113756364,0.16490023113756364
1786181236.0796475,0.024371862411499023,400,-0.00921839555070192,0.006909483609836985,0.0028821712361300285,0.0028821712361300285,-0.5281751589373963,0.395884249458476,0.16513624766425405,0.16513624766425405
1786181236.0854971,0.03022146224975586,401,-0.009212660471846832,0.006898738558777642,0.0028920522222761376,0.0028920522222761376,-0.527846563123825,0.3952686033821231,0.16570238646785332,0.16570238646785332
1786181236.089671,0.03439521789550781,402,-0.00922478135724334,0.006907855861992318,0.0028811646399919885,0.0028811646399919885,-0.5285410387010068,0.39579098637686505,0.16507857395387018,0.16507857395387018
1786181236.095496,0.04022026062011719,403,-0.009206679021456164,0.006902369555041559,0.0028747572076453175,0.0028747572076453175,-0.5275038512610729,0.3954766441434733,0.16471145512289032,0.16471145512289032
1786181236.0998778,0.044602155685424805,404,-0.009220425112569755,0.006903089395936821,0.0028865659843408577,0.0028865659843408577,-0.528291444266684,0.39551788798869275,0.16538804818875721,0.16538804818875721
1786181236.1054957,0.05022001266479492,405,-0.009220470375381701,0.006903789777966708,0.0028620440034646667,0.0028620440034646667,-0.5282940376347773,0.3955580169230521,0.16398304217925097,0.16398304217925097
1786181236.109659,0.054383277893066406,406,-0.009233928063051646,0.006908796369399582,0.0028655128767973996,0.0028655128767973996,-0.5290651063402705,0.3958448734819021,0.16418179398088203,0.16418179398088203
1786181236.1154926,0.06021690368652344,407,-0.009244803866286884,0.006908626077275412,0.0028656469513445733,0.0028656469513445733,-0.5296882439644642,0.39583511646190284,0.16418947588657523,0.16418947588657523
1786181236.1197007,0.06442499160766602,408,-0.009239424046239219,0.006895743508417022,0.0028827773597437465,0.0028827773597437465,-0.5293800029811933,0.39509699963703043,0.1651709759891833,0.1651709759891833
1786181236.125497,0.0702214241027832,409,-0.009294487662166064,0.006896961054452688,0.0028989649356334704,0.0028989649356334704,-0.5325349157785307,0.395166759886237,0.16609845576821222,0.16609845576821222
1786181236.1297343,0.07445859909057617,410,-0.00933797978866892,0.006897926842865954,0.002918772433934095,0.002918772433934095,-0.5350268310691935,0.3952220954862197,0.16723334182355054,0.16723334182355054
1786181236.135484,0.08020830154418945,411,-0.009350629897253989,0.00689346290421345,0.002948276682104641,0.002948276682104641,-0.5357516289015002,0.39496633064142594,0.16892381072142942,0.16892381072142942
1786181236.1394973,0.08422160148620605,412,-0.009384637276435761,0.006903002103827291,0.002968093336292447,0.002968093336292447,-0.5377001082009167,0.39551288651923183,0.17005922137046092,0.17005922137046092
1786181236.1455085,0.09023284912109375,413,-0.009380145906477339,0.006897874691056359,0.0030068429195759597,0.0030068429195759597,-0.5374427716580673,0.395219107407636,0.1722794089504969,0.1722794089504969
1786181236.1496136,0.09433794021606445,414,-0.009387093179303325,0.006894192694501443,0.003018123842218585,0.003018123842218585,-0.5378408210701222,0.3950081445448576,0.1729257582069329,0.1729257582069329
1786181236.1555245,0.10024881362915039,415,-0.00945192569952649,0.0068821960644502534,0.003016471607512071,0.003016471607512071,-0.5415554508541062,0.39432078827454464,0.17283109213148462,0.17283109213148462
1786181236.1597555,0.10447978973388672,416,-0.009450460967720321,0.006874113742961417,0.0030302285656159476,0.0030302285656159476,-0.5414715279034942,0.3938577053645664,0.17361930776977505,0.17361930776977505
1786181236.1654968,0.11022114753723145,417,-0.009462361096796053,0.006874753646846646,0.0030267986374477723,0.0030267986374477723,-0.5421533550751945,0.393894369156484,0.17342278736170558,0.17342278736170558
1786181236.1697636,0.11448788642883301,418,-0.009493182439331586,0.006870905082141687,0.0030349525845816605,0.0030349525845816605,-0.5439192879214075,0.3936738626417069,0.17388997411885015,0.17388997411885015
1786181236.1755092,0.12023353576660156,419,-0.009501734499183914,0.006866198546643735,0.0030542971698614765,0.0030542971698614765,-0.5444092848570893,0.39340419802154575,0.17499833721181451,0.17499833721181451
1786181236.1796017,0.12432599067687988,420,-0.009538501220199171,0.006880291814397898,0.003060432042307532,0.003060432042307532,-0.5465158627977984,0.3942116827834071,0.17534983951082458,0.17534983951082458
1786181236.1854954,0.1302196979522705,421,-0.009569382011088676,0.006887357001371782,0.003066561788145796,0.003066561788145796,-0.5482852017837931,0.39461648817848144,0.17570104807684497,0.17570104807684497
1786181236.189941,0.13466525077819824,422,-0.00961403851725184,0.006887956328220169,0.0030814603613693323,0.0030814603613693323,-0.5508438311147423,0.39465082707744287,0.17655467344332024,0.17655467344332024
1786181236.1955345,0.1402587890625,423,-0.009629588672149936,0.006877073832328744,0.0030922800178178156,0.0030922800178178156,-0.5517347893611779,0.3940273059922958,0.17717459409359984,0.17717459409359984
1786181236.1995327,0.1442570686340332,424,-0.009660636990067436,0.006882107445470913,0.0030967914333326825,0.0030967914333326825,-0.553513726938831,0.39431571078104366,0.17743307916223156,0.17743307916223156
1786181236.2054985,0.1502227783203125,425,-0.009665784967049715,0.006882910024050863,0.003113473534242027,0.003113473534242027,-0.5538086842929462,0.3943616951464024,0.17838889313774836,0.17838889313774836
1786181236.2099414,0.15466570854187012,426,-0.009649184859186631,0.00687913281012201,0.003121449544299712,0.003121449544299712,-0.5528575681729295,0.3941452767299611,0.1788458848514076,0.1788458848514076
1786181236.2154968,0.16022109985351562,427,-0.009654903427471348,0.006891445201562177,0.00311847972238463,0.00311847972238463,-0.5531852180005011,0.3948507247951957,0.17867572658976794,0.17867572658976794
1786181236.2196326,0.16435694694519043,428,-0.009677650223686699,0.006887259028428476,0.003121291933665524,0.003121291933665524,-0.554488513421085,0.39461087474232354,0.17883685442726222,0.17883685442726222
1786181236.2255285,0.17025279998779297,429,-0.009593578801719932,0.006856134519287584,0.0031266926886336873,0.0031266926886336873,-0.5496715757647257,0.3928275717291341,0.1791462948931223,0.1791462948931223
1786181236.22958,0.17430424690246582,430,-0.009531729975124128,0.006837843865566123,0.0031271258294516087,0.0031271258294516087,-0.5461278990329497,0.39177959446635907,0.17917111203392405,0.17917111203392405
1786181236.2354913,0.18021559715270996,431,-0.009490829037692787,0.006832989633872516,0.0031250172695546762,0.0031250172695546762,-0.5437844479400052,0.3915014674775368,0.17905030045097928,0.17905030045097928
1786181236.2395546,0.1842789649963379,432,-0.009454789350825402,0.006832704168147384,0.0031210877418731105,0.0031210877418731105,-0.5417195259875309,0.3914851114962911,0.17882515509934574,0.17882515509934574
1786181236.2454982,0.19022250175476074,433,-0.009411703101737763,0.006835368898378897,0.0031624073224269587,0.0031624073224269587,-0.5392508657597599,0.3916377892920977,0.18119259267633206,0.18119259267633206
1786181236.2497458,0.19447016716003418,434,-0.009388487743755393,0.006844870107602876,0.0031653612207589803,0.0031653612207589803,-0.5379207237274848,0.3921821684809024,0.18136183858386765,0.18136183858386765
